year,symbol,bonus,cash,total,book_close_date,stock,annoucement_date
078/079,BNL,0.0,20.0,20.0,2023-01-04,187,
074/075,BNL,0.0,20.0,20.0,2018-09-17,187,
069/070,BNL,0.0,60.0,60.0,2013-11-26,187,
068/069,BNL,0.0,70.0,70.0,2012-11-29,187,
067/068,BNL,0.0,55.0,55.0,2011-11-29,187,
081/082,ALICL,5.0,5.53,10.53,2026-02-12,114,2026-01-14
080/081,ALICL,5.1,0.27,5.37,2025-07-04,114,
079/080,ALICL,7.75,0.41,8.16,2024-02-19,114,
078/079,ALICL,8.5,0.45,8.95,2023-04-21,114,
077/078,ALICL,14.5,0.76,15.26,2022-09-20,114,
076/077,ALICL,14.5,0.76,15.26,2022-01-26,114,
075/076,ALICL,0.0,0.0,0.0,2021-08-01,114,
073/074,ALICL,4.0,0.21,4.21,2018-05-18,114,
072/073,ALICL,20.0,1.05,21.05,2017-03-16,114,
070/071,ALICL,28.5,1.5,30.0,2015-05-24,114,
068/069,ALICL,8.29,,8.29,2013-01-19,114,
067/068,ALICL,27.0,1.42,28.42,2012-06-20,114,
081/082,SMH,20.0,1.11,21.11,2026-02-25,269,2026-02-04
080/081,SMH,7.0,5.63,12.63,2024-12-02,269,
